Age,Gender,Total,F_Freq_%
15-20,Female,2,0.7333333333
15-20,Female,3,1
15-20,Female,1,0.4
15-20,Female,1,0.6666666667
>25,Female,1,0.4666666667
>25,Female,1,0.4666666667
15-20,Female,1,0.6666666667
>25,Female,1,0.2666666667
15-20,Female,2,0.8
15-20,Female,2,0.7333333333
15-20,Female,1,0.4666666667
15-20,Male,1,0.6
15-20,Male,1,0.4666666667
15-20,Male,1,0.7333333333
15-20,Male,3,0.6666666667
20-25,Female,2,0.6
15-20,Male,2,0.8
15-20,Female,1,0.6666666667
15-20,Female,1,0.5333333333
15-20,Female,1,0.6
15-20,Female,1,0.5333333333
15-20,Female,2,0.5333333333
15-20,Female,2,0.8666666667
15-20,Female,2,0.8
15-20,Nonbinary,1,0.7333333333
15-20,Female,1,0.6
15-20,Male,1,0.9333333333
20-25,Female,1,0.8
15-20,Female,1,0.5333333333
20-25,Female,3,1
15-20,Female,1,0.5333333333
20-25,Female,2,0.8
15-20,Female,2,0.8666666667
15-20,Female,2,0.8
15-20,Female,1,0.4666666667
15-20,Female,1,0.6666666667
20-25,Male,2,0.4
15-20,Female,1,0.5333333333
15-20,Female,0,0.2
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,Total,F_Freq_%
,,2,0.7333333333
,,3,1
,,1,0.4
,,1,0.6666666667
,,1,0.4666666667
,,1,0.4666666667
,,1,0.6666666667
,,1,0.2666666667
,,2,0.8
,,2,0.7333333333
,,1,0.4666666667
,,1,0.6
,,1,0.4666666667
,,1,0.7333333333
,,3,0.6666666667
